epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8945,1.49144,2.17457,1.13562,0.48791,0.27064,0.27555,0.15807,1.36812,1.23518,1.07879,0.000276926,0.000276926,0.000276926
2,131.598,1.33913,1.39757,1.08456,0.51928,0.35112,0.37685,0.20757,1.33159,1.08773,1.08688,0.000499688,0.000499688,0.000499688
3,177.758,1.28569,1.18011,1.07817,0.45409,0.41197,0.41308,0.23212,1.28923,1.02325,1.07006,0.000667472,0.000667472,0.000667472
4,223.113,1.23714,1.0353,1.05765,0.49996,0.47293,0.46101,0.25571,1.2963,0.99361,1.07577,0.000585599,0.000585599,0.000585599
5,268.928,1.186,0.94832,1.03952,0.57531,0.45709,0.49149,0.28465,1.23108,0.93674,1.04867,0.000503132,0.000503132,0.000503132
6,314.498,1.15919,0.88675,1.02441,0.64101,0.4928,0.56121,0.32764,1.21452,0.90985,1.04848,0.000420665,0.000420665,0.000420665
7,359.877,1.10943,0.8287,1.01032,0.64858,0.49007,0.56792,0.34437,1.1755,0.89427,1.02917,0.000338198,0.000338198,0.000338198
8,404.662,1.07517,0.78284,0.99503,0.65713,0.55419,0.60885,0.37756,1.1317,0.8219,1.01285,0.000255731,0.000255731,0.000255731
9,449.678,1.03948,0.74197,0.98023,0.67631,0.54901,0.62175,0.38552,1.13734,0.82049,1.01351,0.000173264,0.000173264,0.000173264
10,494.402,1.01201,0.71186,0.96863,0.68466,0.58329,0.64146,0.40895,1.10632,0.77365,1.00257,9.0797e-05,9.0797e-05,9.0797e-05
